List,Publication,Title,First Author,Year,Category,Sex,Race,Hispanic,Born,Age Estimated
The 20 Books That Defined Our Year,WSJ,The Genius of Birds,Jennifer Ackerman,2016,Non-Fiction,Female,White,FALSE,1959,FALSE
The 20 Books That Defined Our Year,WSJ,Secondhand Time: The Last of the Soviets,Svetlana Alexievich,2016,Non-Fiction,Female,White,FALSE,1948,FALSE
The 20 Books That Defined Our Year,WSJ,Eccentric Orbits: The Iridium Story,John Bloom,2016,Non-Fiction,Male,White,FALSE,1954,TRUE
The 20 Books That Defined Our Year,WSJ,Code Warriors,Stephen Budiansky,2016,Non-Fiction,Male,White,FALSE,1957,FALSE
The 20 Books That Defined Our Year,WSJ,The Vanishing Velázquez,Laura Cumming,2016,Non-Fiction,Female,White,FALSE,1961,FALSE
The 20 Books That Defined Our Year,WSJ,In a Different Key,John Donvan,2016,Non-Fiction,Male,White,FALSE,1955,FALSE
The 20 Books That Defined Our Year,WSJ,The Rise and Fall of American Growth: The US Standard of Living since the Civil War,Robert Gordon,2016,Non-Fiction,Male,White,FALSE,1940,FALSE
The 20 Books That Defined Our Year,WSJ,Harry & Arthur,Lawrence J. Haas,2016,Non-Fiction,Male,White,FALSE,1957,TRUE
The 20 Books That Defined Our Year,WSJ,Black Hole Blues and Other Songs from Outer Space,Janna Levin,2016,Non-Fiction,Female,White,FALSE,1967,FALSE
The 20 Books That Defined Our Year,WSJ,The Story of a Brief Marriage,Anuk Arudpragasam,2016,Fiction,Male,Asian,FALSE,1988,FALSE
The 20 Books That Defined Our Year,WSJ,Spill Simmer Falter Wither,Sara Baume,2016,Fiction,Female,White,FALSE,1984,FALSE
The 20 Books That Defined Our Year,WSJ,Moonglow,Michael Chabon,2016,Fiction,Male,White,FALSE,1963,FALSE
The 20 Books That Defined Our Year,WSJ,The Heart,Maylis de Kerangal,2016,Fiction,Female,White,FALSE,1967,FALSE
The 20 Books That Defined Our Year,WSJ,Heat and Light,Jennifer Haigh,2016,Fiction,Female,White,FALSE,1968,FALSE
The 20 Books That Defined Our Year,WSJ,Imagine Me Gone,Adam Haslett,2016,Fiction,Male,White,FALSE,1970,FALSE
The 20 Books That Defined Our Year,WSJ,Oblivion,Sergei Lebedev,2016,Fiction,Male,White,FALSE,1981,FALSE
The 20 Books That Defined Our Year,WSJ,High Dive,Jonathan Lee,2016,Fiction,Male,White,FALSE,1981,FALSE
The 20 Books That Defined Our Year,WSJ,The Sport of Kings,C.E. Morgan,2016,Fiction,Female,White,FALSE,1976,FALSE
The 20 Books That Defined Our Year,WSJ,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
The Best Books We Read in 2016,The Atlantic,Roadside Picnic,Arkady Strugatsky,1972,Fiction,Male,White,FALSE,1925,FALSE
The Best Books We Read in 2016,The Atlantic,Under the Harrow,Flynn Berry,2016,Fiction,Female,White,FALSE,1986,TRUE
The Best Books We Read in 2016,The Atlantic,Ghettoside: A True Story of Murder in America,Jill Leovy,2015,Non-Fiction,Female,White,FALSE,1966,FALSE
The Best Books We Read in 2016,The Atlantic,The Yiddish Policemen's Union,Michael Chabon,2008,Fiction,Male,White,FALSE,1963,FALSE
The Best Books We Read in 2016,The Atlantic,The Sound of Things Falling,Juan Gabriel Vasquez,2013,Fiction,Male,White,TRUE,1973,FALSE
The Best Books We Read in 2016,The Atlantic,When Breath Becomes Air,Paul Kalanithi,2016,Non-Fiction,Male,Asian,FALSE,1977,FALSE
The Best Books We Read in 2016,The Atlantic,The Wonder,Emma Donoghue,2016,Fiction,Female,White,FALSE,1969,FALSE
The Best Books We Read in 2016,The Atlantic,Extracting the Stone of Madness: Poems 1962 - 1972,Alejandra Pizarnik,2016,Fiction,Female,White,TRUE,1936,FALSE
The Best Books We Read in 2016,The Atlantic,Death's End,Liu Cixin,2016,Fiction,Male,Asian,FALSE,1963,FALSE
The Best Books We Read in 2016,The Atlantic,Swing Time,Zadie Smith,2016,Fiction,Female,Black,FALSE,1975,FALSE
The Best Books We Read in 2016,The Atlantic,You'll Grow Out of It,Jessi Klein,2016,Non-Fiction,Female,White,FALSE,1975,FALSE
The Best Books We Read in 2016,The Atlantic,The Sun is Also a Star,Nicola Yoon,2016,Fiction,Female,Black,FALSE,1972,FALSE
The Best Books We Read in 2016,The Atlantic,A Little Life,Hanya Yanagihara,2015,Fiction,Female,Asian,FALSE,1975,FALSE
The Best Books We Read in 2016,The Atlantic,Known and Strange Things,Teju Cole,2016,Non-Fiction,Male,Black,FALSE,1975,FALSE
The Best Books We Read in 2016,The Atlantic,So Sad Today,Melissa Broder,2016,Fiction,Female,White,FALSE,1979,TRUE
The Best Books We Read in 2016,The Atlantic,Underground Airlines,Ben Winters,2016,Fiction,Male,White,FALSE,1976,FALSE
The Best Books We Read in 2016,The Atlantic,The Mothers,Brit Bennett,2016,Fiction,Female,Black,FALSE,1990,FALSE
The Best Books We Read in 2016,The Atlantic,Negroland,Margo Jefferson,2015,Non-Fiction,Female,Black,FALSE,1947,FALSE
The Best Books We Read in 2016,The Atlantic,An Untamed State,Roxanne Gay,2014,Fiction,Female,Black,FALSE,1974,FALSE
The Best Books We Read in 2016,The Atlantic,Dispatches from Dystopia: Histories of Places Not Yet Forgotten,Kate Brown,2015,Non-Fiction,Female,White,FALSE,1966,TRUE
The Best Books We Read in 2016,The Atlantic,Homegoing,Yaa Gyasi,2016,Fiction,Female,Black,FALSE,1989,FALSE
The Best Books We Read in 2016,The Atlantic,The Hike,Drew Magary,2016,Fiction,Male,White,FALSE,1977,TRUE
The Best Books We Read in 2016,The Atlantic,On Beauty,Zadie Smith,2005,Fiction,Female,Black,FALSE,1975,FALSE
The Best Books We Read in 2016,The Atlantic,Hot Milk,Deborah Levy,2016,Fiction,Female,White,FALSE,1959,FALSE
The Best Books We Read in 2016,The Atlantic,The Waves,Virginia Woolf,1931,Fiction,Female,White,FALSE,1882,FALSE
The Best Books We Read in 2016,The Atlantic,Time Travel: A History,James Gleick,2016,Non-Fiction,Male,White,FALSE,1954,FALSE
The Best Books We Read in 2016,The Atlantic,Men Explain Things to Me,Rebecca Solnit,2014,Non-Fiction,Female,White,FALSE,1961,FALSE
The Best Books We Read in 2016,The Atlantic,Private Citizens,Tony Tulathimutte,2016,Fiction,Male,Asian,FALSE,1983,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,The Years of Lyndon Johnson,Robert Caro,1982,Non-Fiction,Male,White,FALSE,1935,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,The Last Lion: Winston Spencer Churchill,William Manchester,2012,Non-Fiction,Male,White,FALSE,1922,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,2016,Non-Fiction,Male,White,FALSE,1938,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,The Count of Monte Cristo,Alexandre Dumas,1844,Fiction,Male,White,FALSE,1802,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,Lincoln's Virtues,William Lee Miller,2002,Non-Fiction,Male,White,FALSE,1926,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,Hillbilly Elegy,JD Vance,2016,Non-Fiction,Male,White,FALSE,1982,TRUE
The Very Best Books I Read in 2016,Ryan Holiday,When Breath Becomes Air,Paul Kalanithi,2016,Non-Fiction,Male,Asian,FALSE,1977,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,The Revenant,Michael Punke,2002,Fiction,Male,White,FALSE,1964,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,Lancelot,Walker Percy,1977,Fiction,Male,White,FALSE,1916,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,Mr. Eternity,Aaron Thier,2016,Fiction,Male,White,FALSE,1985,TRUE
The Very Best Books I Read in 2016,Ryan Holiday,The Subtle Art of Not Giving a Fuck,Mark Manson,2016,Non-Fiction,Male,White,FALSE,1984,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,Deep Work,Cal Newport,2016,Non-Fiction,Male,White,FALSE,1982,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,The Song Machine,John Seabrook,2015,Non-Fiction,Male,White,FALSE,1958,TRUE
The Very Best Books I Read in 2016,Ryan Holiday,The World According to Star Wars,Cass Sunstein,2016,Non-Fiction,Male,White,FALSE,1954,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,It Can't Happen Here,Sinclair Lewis,1935,Fiction,Male,White,FALSE,1885,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,The Road to Character,David Brooks,2015,Non-Fiction,Male,White,FALSE,1961,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,Tribe,Sebastian Junger,2016,Non-Fiction,Male,White,FALSE,1962,FALSE
The Very Best Books I Read in 2016,Ryan Holiday,What If We're Wrong,Chuck Klosterman,2016,Non-Fiction,Male,White,FALSE,1972,FALSE
Times Critics' Top Books of 2016,New York Times,Moonglow,Michael Chabon,2016,Fiction,Male,White,FALSE,1963,FALSE
Times Critics' Top Books of 2016,New York Times,"Hitler: Ascent, 1889 - 1939",Volker Ullrich,2013,Non-Fiction,Male,White,FALSE,1943,FALSE
Times Critics' Top Books of 2016,New York Times,Night Sky With Exit Wounds,Ocean Vuong,2016,Fiction,Male,Asian,FALSE,1988,FALSE
Times Critics' Top Books of 2016,New York Times,Lab Girl,Hope Jahren,2016,Non-Fiction,Female,White,FALSE,1969,FALSE
Times Critics' Top Books of 2016,New York Times,The North Water,Ian McGuire,2016,Fiction,Male,White,FALSE,1964,FALSE
Times Critics' Top Books of 2016,New York Times,Born a Crime: Stories from a South African Childhood,Trevor Noah,2016,Non-Fiction,Male,Black,FALSE,1984,FALSE
Times Critics' Top Books of 2016,New York Times,"The Return: Fathers, Sons, and the Land in Between",Hisham Matar,2016,Non-Fiction,Male,White,FALSE,1970,FALSE
Times Critics' Top Books of 2016,New York Times,Nutshell,Ian McEwan,2016,Fiction,Male,White,FALSE,1948,FALSE
Times Critics' Top Books of 2016,New York Times,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
Times Critics' Top Books of 2016,New York Times,The Revenge of Analog: Real Things and Why They Matter,David Sax,2016,Non-Fiction,Male,White,FALSE,1979,FALSE
Times Critics' Top Books of 2016,New York Times,The Sport of Kings,C.E. Morgan,2016,Fiction,Female,White,FALSE,1976,FALSE
Times Critics' Top Books of 2016,New York Times,What Belongs to You,Garth Greenwell,2016,Fiction,Male,White,FALSE,1978,FALSE
Times Critics' Top Books of 2016,New York Times,White Trash: The 400-Year Untold History of Class in America,Nancy Isenberg,2016,Non-Fiction,Female,White,FALSE,1969,TRUE
Times Critics' Top Books of 2016,New York Times,Born to Run,Bruce Springsteen,2016,Non-Fiction,Male,White,FALSE,1949,FALSE
Times Critics' Top Books of 2016,New York Times,"Collected Poems, 1974-2004",Rita Dove,2016,Fiction,Female,Black,FALSE,1952,FALSE
Times Critics' Top Books of 2016,New York Times,Albert Murray: Collected Essays and Memoirs,Albert Murray,2016,Non-Fiction,Male,Black,FALSE,1916,FALSE
Times Critics' Top Books of 2016,New York Times,Here I Am,Jonathan Safran Foer,2016,Fiction,Male,White,FALSE,1977,FALSE
Times Critics' Top Books of 2016,New York Times,"Kenneth Clark: Life, Art and Civilisation",James Stourton,2016,Non-Fiction,Male,White,FALSE,1955,TRUE
Times Critics' Top Books of 2016,New York Times,All That Man Is,David Szalay,2016,Fiction,Male,White,FALSE,1974,FALSE
Times Critics' Top Books of 2016,New York Times,"They Can't Kill Us All: Ferguson, Baltimore, and New Era in America's Racial Justice Movement",Wesley Lowery,2016,Non-Fiction,Male,Black,FALSE,1990,FALSE
Times Critics' Top Books of 2016,New York Times,Evicted: Poverty and Profit in the American City,Matthew Desmond,2016,Non-Fiction,Male,White,FALSE,1980,TRUE
Times Critics' Top Books of 2016,New York Times,In the Darkroom,Susan Faludi,2016,Non-Fiction,Female,White,FALSE,1959,FALSE
Times Critics' Top Books of 2016,New York Times,Hillbilly Elegy,J.D. Vance,2016,Non-Fiction,Male,White,FALSE,1982,TRUE
Times Critics' Top Books of 2016,New York Times,Commonwealth,Ann Patchett,2016,Fiction,Female,White,FALSE,1963,FALSE
Times Critics' Top Books of 2016,New York Times,"The Arab of the Future 2: A Childhood in the Middle East, 1984-1985",Riad Sattouf,2016,Non-Fiction,Male,White,FALSE,1978,FALSE
Times Critics' Top Books of 2016,New York Times,Do Not Say We Have Nothing,Madeleine Thien,2016,Fiction,Female,Asian,FALSE,1974,FALSE
Times Critics' Top Books of 2016,New York Times,Blood at the Root: A Racial Cleansing in America,Patrick Phillips,2016,Non-Fiction,Male,White,FALSE,1970,FALSE
Times Critics' Top Books of 2016,New York Times,"Hero of the Empire: The Boer War, A Darling Escape and the Making of Winston Churchill",Candice Millard,2016,Non-Fiction,Female,White,FALSE,1968,FALSE
Times Critics' Top Books of 2016,New York Times,Grace,Natashia Deon,2016,Fiction,Female,Black,FALSE,1979,TRUE
Times Critics' Top Books of 2016,New York Times,High Dive,Jonathan Lee,2016,Fiction,Male,White,FALSE,1981,FALSE
Times Critics' Top Books of 2016,New York Times,When Breath Becomes Air,Paul Kalanithi,2016,Non-Fiction,Male,Asian,FALSE,1977,FALSE
Times Critics' Top Books of 2016,New York Times,Heat and Light,Jennifer Haigh,2016,Fiction,Female,White,FALSE,1968,FALSE
Times Critics' Top Books of 2016,New York Times,Victoria: The Queen: An Intimate Biography of the Woman Who Ruled an Empire,Julia Baird,2016,Non-Fiction,Female,White,FALSE,1971,TRUE
Times Critics' Top Books of 2016,New York Times,The Trespasser,Tana French,2016,Fiction,Female,White,FALSE,1973,FALSE
Times Critics' Top Books of 2016,New York Times,"At the Existentialist Café: Freedom, Being, and Apricot Cocktails",Sarah Bakewell,2016,Non-Fiction,Female,White,FALSE,1962,TRUE
Times Critics' Top Books of 2016,New York Times,"Truevine: Two Brothers, a Kidnapping, and a Mother's Quest: A True Story of the Jim Crow South",Beth Macy,2016,Non-Fiction,Female,White,FALSE,1964,TRUE
Times Critics' Top Books of 2016,New York Times,News of the World,Paulette Jiles,2016,Fiction,Female,White,FALSE,1943,FALSE
Times Critics' Top Books of 2016,New York Times,"We Love You, Charlie Freeman",Kaitlyn Greenidge,2016,Fiction,Female,Black,FALSE,1982,TRUE
Times Critics' Top Books of 2016,New York Times,IQ,Joe Ide,2016,Fiction,Male,Asian,FALSE,1959,TRUE
Times Critics' Top Books of 2016,New York Times,Before the Fall,Noah Hawley,2016,Fiction,Male,White,FALSE,1967,FALSE
My Favorite Books of 2016,Bill Gates,String Theory,David Foster Wallace,2016,Non-Fiction,Male,White,FALSE,1962,FALSE
My Favorite Books of 2016,Bill Gates,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,2016,Non-Fiction,Male,White,FALSE,1938,FALSE
My Favorite Books of 2016,Bill Gates,The Gene: An Intimate History,Siddhartha Mukherjee,2016,Non-Fiction,Male,Asian,FALSE,1970,FALSE
My Favorite Books of 2016,Bill Gates,The Myth of the Strong Leader,Archie Brown,2014,Non-Fiction,Male,White,FALSE,1938,FALSE
My Favorite Books of 2016,Bill Gates,The Grid,Gretchen Bakke,2016,Non-Fiction,Female,White,FALSE,1972,TRUE
Man Booker 2016 Shortlist,Man Booker Prize,Hot Milk,Deborah Levy,2016,Fiction,Female,White,FALSE,1959,FALSE
Man Booker 2016 Shortlist,Man Booker Prize,His Bloody Project,Graeme MaCrae Burnet,2016,Fiction,Male,White,FALSE,1967,FALSE
Man Booker 2016 Shortlist,Man Booker Prize,Eileen: A Novel,Ottessa Moshfegh,2016,Fiction,Female,White,FALSE,1981,FALSE
Man Booker 2016 Shortlist,Man Booker Prize,All That Man Is,David Szalay,2016,Fiction,Male,White,FALSE,1974,FALSE
Man Booker 2016 Shortlist,Man Booker Prize,Do Not Say We Have Nothing,Madeleine Thien,2016,Fiction,Female,Asian,FALSE,1974,FALSE
Man Booker 2016 Shortlist,Man Booker Prize,The Sellout: A Novel,Paul Beatty,2016,Fiction,Male,Black,FALSE,1962,FALSE
Goodreads Choice Awards 2016,Goodreads,Truly Madly Guilty,Liane Moriarty,2016,Fiction,Female,White,FALSE,1966,FALSE
Goodreads Choice Awards 2016,Goodreads,End of Watch: A Novel,Stephen King,2016,Fiction,Male,White,FALSE,1947,FALSE
Goodreads Choice Awards 2016,Goodreads,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
Goodreads Choice Awards 2016,Goodreads,Harry Potter and the Cursed Child,J.K. Rowling,2016,Fiction,Female,White,FALSE,1965,FALSE
Goodreads Choice Awards 2016,Goodreads,It Ends With Us: A Novel,Colleen Hoover,2016,Fiction,Female,White,FALSE,1979,FALSE
Goodreads Choice Awards 2016,Goodreads,Morning Star,Pierce Brown,2016,Fiction,Male,White,FALSE,1988,FALSE
Goodreads Choice Awards 2016,Goodreads,The Fireman,Joe Hill,2016,Fiction,Male,White,FALSE,1972,FALSE
Goodreads Choice Awards 2016,Goodreads,The Girl with the Lower Back Tattoo,Amy Schumer,2016,Non-Fiction,Female,White,FALSE,1981,FALSE
Goodreads Choice Awards 2016,Goodreads,Hamilton: The Revolution,Lin-Manuel Miranda,2016,Non-Fiction,Male,White,TRUE,1980,FALSE
Goodreads Choice Awards 2016,Goodreads,When Breath Becomes Air,Paul Kalanithi,2016,Non-Fiction,Male,Asian,FALSE,1977,FALSE
Goodreads Choice Awards 2016,Goodreads,Leonard: My Fifty-Year Friendship with a Remarkable Man,William Shatner,2016,Non-Fiction,Male,White,FALSE,1931,FALSE
Goodreads Choice Awards 2016,Goodreads,Are We Smart Enough to Know How Smart Animals Are?,Frans de Waal,2016,Non-Fiction,Male,White,FALSE,1948,FALSE
Goodreads Choice Awards 2016,Goodreads,Cravings: Recipes for All the Food You Want to Eat,Chrissy Teigen,2016,Non-Fiction,Female,Mixed,FALSE,1985,FALSE
Goodreads Choice Awards 2016,Goodreads,Adulthood is a Myth: A Sarah's Scribbles Collection,Sarah Andersen,2016,Fiction,Female,White,FALSE,1992,FALSE
Goodreads Choice Awards 2016,Goodreads,the princess saves herself in this one,Amanda Lovelace,2016,Fiction,Female,White,FALSE,1991,TRUE
Goodreads Choice Awards 2016,Goodreads,Rebel of the Sands,Alwyn Hamilton,2016,Fiction,Female,White,FALSE,1987,TRUE
Goodreads Choice Awards 2016,Goodreads,Salt to the Sea,Ruta Sepetys,2016,Fiction,Female,White,FALSE,1967,FALSE
Goodreads Choice Awards 2016,Goodreads,A Court of Mist and Fury,Sarah J. Maas,2016,Fiction,Female,White,FALSE,1986,FALSE
Goodreads Choice Awards 2016,Goodreads,"The Trials of Apollo, Book One: The Hidden Oracle",Rick Riordan,2016,Fiction,Male,White,FALSE,1964,FALSE
Goodreads Choice Awards 2016,Goodreads,The Thank You Book,Mo Willems,2016,Fiction,Male,White,FALSE,1968,FALSE
Books of the Year 2016,Economist,China's Future,David Shambaugh,2016,Non-Fiction,Male,White,FALSE,1953,FALSE
Books of the Year 2016,Economist,"Black Wind, White Snow: The Rise of Russia's New Nationalism",Charles Clover,2016,Non-Fiction,Male,White,FALSE,1958,FALSE
Books of the Year 2016,Economist,The Euro and the Battle of Ideas,Markus Brunnermeier,2016,Non-Fiction,Male,White,FALSE,1969,FALSE
Books of the Year 2016,Economist,"CEO, China: The Rise of Xi Jinping",Kerry Brown,2016,Non-Fiction,Male,White,FALSE,1965,TRUE
Books of the Year 2016,Economist,China's Crony Capitalism,Minxin Pei,2016,Non-Fiction,Male,Asian,FALSE,1961,TRUE
Books of the Year 2016,Economist,The Egyptians: A Radical Story,Jack Shenker,2016,Non-Fiction,Male,White,FALSE,1985,TRUE
Books of the Year 2016,Economist,Trials: On Death Row in Pakistan,Isabel Buchanan,2016,Non-Fiction,Female,White,FALSE,1988,TRUE
Books of the Year 2016,Economist,Hillbilly Elegy,JD Vance,2016,Non-Fiction,Male,White,FALSE,1982,TRUE
Books of the Year 2016,Economist,The Art of Charlie Chan Hock Chye,Sonny Liew,2016,Fiction,Male,Asian,FALSE,1974,FALSE
Books of the Year 2016,Economist,The Way to the Spring: Life and Death in Palestine,Ben Ehrenreich,2016,Non-Fiction,Male,White,FALSE,1972,FALSE
Books of the Year 2016,Economist,"The Return: Fathers, Sons and the Land In Between",Hisham Matar,2016,Non-Fiction,Male,White,FALSE,1970,FALSE
Books of the Year 2016,Economist,Elizabeth: The Forgotten Years,John Guy,2016,Non-Fiction,Male,White,FALSE,1949,FALSE
Books of the Year 2016,Economist,Half-Lion: How P.V. Narasimha Rao Transformed India,Vinay Sitapati,2016,Non-Fiction,Male,Asian,FALSE,1982,TRUE
Books of the Year 2016,Economist,When Breath Becomes Air,Paul Kalanithi,2016,Non-Fiction,Male,Asian,FALSE,1977,FALSE
Books of the Year 2016,Economist,Karl Marx: Greatness and Illusion,Gareth Stedman Jones,2016,Non-Fiction,Male,White,FALSE,1942,FALSE
Books of the Year 2016,Economist,Negroland,Margo Jefferson,2015,Non-Fiction,Female,Black,FALSE,1947,FALSE
Books of the Year 2016,Economist,"Kenneth Clark: Life, Art and Civilisation",James Stourton,2016,Non-Fiction,Male,White,FALSE,1955,TRUE
Books of the Year 2016,Economist,Born to Run,Bruce Springsteen,2016,Non-Fiction,Male,White,FALSE,1949,FALSE
Books of the Year 2016,Economist,But You Did Not Come Back,Marceline Loridan-Ivens,2016,Non-Fiction,Female,White,FALSE,1928,FALSE
Books of the Year 2016,Economist,The Civil Wars of Julia Ward Howe: A Biography,Elaine Showalter,2016,Non-Fiction,Female,White,FALSE,1941,FALSE
Books of the Year 2016,Economist,Outlandish Knight: The Byzantine Life of Steven Runciman,Minoo Dinshaw,2016,Non-Fiction,Male,Asian,FALSE,1990,TRUE
Books of the Year 2016,Economist,The Water Kingdom: A Secret History of China,Philip Ball,2017,Non-Fiction,Male,White,FALSE,1962,FALSE
Books of the Year 2016,Economist,The Romanovs: 1613 - 1918,Simon Sebag Montefiore,2016,Non-Fiction,Male,White,FALSE,1965,FALSE
